ubigeo;distrito;distrito_norm;pob_2025;hombres_2025;mujeres_2025;urbana_2025;rural_2025;pct_rural_2025;ipress_2026;ipress_publicas_2026;ipress_privadas_2026;medicos_2026;enfermeras_2026;obstetras_2026;camas_2026;ambulancias_2026;medicos_x10k_2026;hab_por_medico_2026;pct_pob_provincia_2025;electores_2026;mesas_2026;locales_votacion_2026;pct_electores_provincia;votos_emitidos_2v2026;participacion_2v2026;ausentismo_2v2026;pct_sanchez_2v2026;pct_fujimori_2v2026;pct_nulo_blanco_2v2026;electores_x_hab;pct_sanchez_1v2026;pct_fujimori_1v2026;pct_belmont_1v2026;pct_nieto_1v2026;pct_lopez_aliaga_1v2026;pct_actas_1v2026;pobreza_2018_inf;pobreza_2018_sup;pobreza_2018_punto;pobreza_2018_ranking_nacional;ccpp_2017;ccpp_menos100hab_2017;ccpp_menos50hab_2017;capital;pob_capital_2017;pob_2017;pct_ccpp_menos100;var_pob_2017_2025_pct;caserios_ign;ccpp_geolocalizados;superficie_km2;altitud_capital_msnm;densidad_hab_km2_2025;presupuesto_pim_2021;presupuesto_ejecutado_2021;proyectos_pim_2021;proyectos_ejecutado_2021;pct_ejecucion_proyectos_2021;viviendas_2017;pct_agua_red_2017;pct_sin_agua_red_2017;pct_agua_rio_manantial_pozo_2017;pct_desague_red_2017;pct_sin_desague_red_2017;pct_pozo_ciego_2017;pct_aire_libre_2017;pct_sin_luz_2017;pct_3_servicios_2017;hogares_2017;pct_lena_2017;pct_internet_hogar_2017;pct_celular_hogar_2017;dci_pct_2021;dci_casos_2021;dci_evaluados_2021;dci_pct_2019;anemia_6a35m_pct_2021;anemia_6a35m_evaluados_2021;anemia_menores5_pct_2021;medicos_rnps_2022;enfermeros_rnps_2022;obstetras_rnps_2022;establecimientos_rnps_2021;locales_esc_buen_estado_pct_2018;locales_esc_agua_pct_2021;locales_esc_3serv_pct_2021;escuelas_internet_primaria_pct_2020;escuelas_internet_secundaria_pct_2020;primaria_polidocente_2021;primaria_multigrado_2021;primaria_unidocente_2021;ece4_lectura_previo_inicio_pct_2019;ece4_lectura_inicio_pct_2019;pea_agro_1a5_2017;contribuyentes_2021;contribuyentes_agro_2021;canon_minero_2020;empresas_operacion_2021;residuos_kg_dia_2021;residuos_relleno_kg_dia_2021;comisarias_2021;efectivos_pnp_2021;hab_por_policia_2021;prk_pobreza_2018_punto;niv_pobreza_2018_punto;prk_pct_sin_agua_red_2017;niv_pct_sin_agua_red_2017;prk_pct_sin_desague_red_2017;niv_pct_sin_desague_red_2017;prk_pct_sin_luz_2017;niv_pct_sin_luz_2017;prk_dci_pct_2021;niv_dci_pct_2021;prk_medicos_x10k_2026;niv_medicos_x10k_2026;prk_locales_esc_buen_estado_pct_2018;niv_locales_esc_buen_estado_pct_2018;prk_pct_internet_hogar_2017;niv_pct_internet_hogar_2017;prk_pct_ccpp_menos100;niv_pct_ccpp_menos100;prk_ausentismo_2v2026;niv_ausentismo_2v2026;indice_brecha_gemses;demandas_prioritarias;peso_electoral;ranking_brecha_provincial;validos_erm2022;votos_ap2022;pct_ap2022;votos_app2022;pct_app2022;votos_csv2022;pct_csv2022;votos_sp2022;pct_sp2022;idh_2019
060601;Cutervo;CUTERVO;52791;25050;27741;24845;27946;52.9;76;56;18;92;124;62;59;7;17.4;574;43.3;43567;148;21;40.4;30404;69.8;30.2;65.9;34.1;8.3;0.83;43.697;14.313;12.518;4.513;3.099;97.973;38.8;54.3;46.5;476;141;39;11;Cutervo;21220;50905;28.0;3.7;57;120;422.27;2628.0;125.0;342299168.0;204228382.05;231984704.0;109999692.66;47.4;15430.0;72.9;27.1;18.4;40.8;59.2;36.7;1.7;14.9;38.4;15810.0;73.5;7.8;78.1;19.58;863.0;4407.0;24.02;26.52;411.0;20.18;61.0;106.0;63.0;67.0;15.6;21.76;41.42;35.9;52.4;13.0;80.0;17.0;11.0;30.0;9570.0;10299.0;131.0;2298225.5;2346.0;12000.0;;3.0;46.0;1148;10.0;BAJO;33.0;MEDIO;10.0;BAJO;17.0;BAJO;97.0;CRÍTICO;3.0;BAJO;37.0;MEDIO;3.0;BAJO;23.0;BAJO;3.0;BAJO;26.0;Desnutrición crónica <5 (2021) (P97) | Locales escolares en buen estado (2018) (P37) | Sin agua por red (2017) (P33);ALTO;14;26641;7814;29.3;9118;34.2;4535;17.0;0;0.0;0.399
060607;Querocotillo;QUEROCOTILLO;12633;6244;6389;0;12633;100.0;23;23;0;11;15;9;1;3;8.7;1148;10.4;11458;42;10;10.6;4627;40.4;59.6;73.1;26.9;4.5;0.91;61.25;12.875;6.248;1.041;2.083;92.857;61.3;77.0;69.2;34;82;32;20;Querocotillo;915;12987;39.0;-2.7;40;74;697.1;1982.0;18.1;45111967.0;30953855.57;36604485.0;23567965.95;64.4;3749.0;52.0;48.0;40.0;15.7;84.3;55.9;10.9;36.7;15.0;3786.0;92.9;0.3;48.3;17.88;236.0;1320.0;23.25;10.1;99.0;5.5;10.0;12.0;7.0;23.0;12.1;13.86;33.66;20.0;16.7;6.0;38.0;15.0;30.0;32.0;2777.0;690.0;0.0;1225706.8;138.0;500.0;;1.0;5.0;2527;70.0;ALTO;70.0;ALTO;80.0;CRÍTICO;63.0;ALTO;63.0;ALTO;37.0;MEDIO;63.0;ALTO;60.0;ALTO;33.0;MEDIO;97.0;CRÍTICO;60.0;Sin desagüe por red (2017) (P80) | Sin agua por red (2017) (P70) | Pobreza monetaria 2018 (P70);ALTO;5;6216;495;8.0;2119;34.1;3330;53.6;0;0.0;0.274
060602;Callayuc;CALLAYUC;9540;4834;4706;0;9540;100.0;18;18;0;7;14;8;4;1;7.3;1363;7.8;7723;28;5;7.2;3799;49.2;50.8;74.5;25.5;7.4;0.81;62.797;10.678;7.839;0.975;1.737;96.429;68.0;83.3;75.7;12;69;35;14;Callayuc;585;9361;51.0;1.9;36;61;316.05;1330.0;30.2;23640574.0;16801392.65;17242405.0;11501299.39;66.7;2725.0;41.2;58.8;46.7;14.3;85.7;60.9;7.7;61.3;12.6;2852.0;91.8;0.3;53.7;14.48;160.0;1105.0;24.07;11.61;112.0;8.11;7.0;11.0;7.0;18.0;13.2;8.33;27.78;13.0;16.7;2.0;26.0;18.0;21.0;42.0;2656.0;451.0;4.0;872189.0;94.0;750.0;;1.0;6.0;1590;90.0;CRÍTICO;90.0;CRÍTICO;90.0;CRÍTICO;97.0;CRÍTICO;30.0;MEDIO;63.0;ALTO;57.0;ALTO;60.0;ALTO;63.0;ALTO;80.0;CRÍTICO;71.0;Sin electricidad (2017) (P97) | Sin desagüe por red (2017) (P90) | Sin agua por red (2017) (P90);ALTO;2;4651;2695;57.9;1600;34.4;330;7.1;0;0.0;0.338
060614;Socota;SOCOTA;8716;4264;4452;2737;5979;68.6;17;17;0;5;12;5;13;3;5.7;1743;7.1;8117;29;7;7.5;4865;59.9;40.1;62.2;37.8;6.0;0.93;40.205;15.996;11.24;2.81;4.918;96.552;46.8;63.0;54.9;203;37;10;3;Socota;2698;9054;27.0;-3.7;19;30;134.83;1822.0;64.6;20181282.0;15004614.69;15476365.0;10620474.33;68.6;2618.0;69.0;31.0;29.4;29.0;71.0;49.0;0.8;17.0;27.9;2692.0;85.4;1.5;79.0;17.08;139.0;814.0;20.27;9.59;73.0;5.22;4.0;8.0;6.0;17.0;18.9;29.03;43.55;16.7;20.0;3.0;22.0;5.0;17.0;24.0;1711.0;1028.0;22.0;708568.5;251.0;2015.0;;1.0;8.0;1090;17.0;BAJO;57.0;ALTO;43.0;MEDIO;23.0;BAJO;57.0;ALTO;73.0;ALTO;23.0;BAJO;23.0;BAJO;17.0;BAJO;17.0;BAJO;37.0;Médicos por 10 000 hab (2026) (P73) | Sin agua por red (2017) (P57) | Desnutrición crónica <5 (2021) (P57);ALTO;12;5511;1330;24.1;1754;31.8;2030;36.8;0;0.0;0.334
060613;Santo Tomás;SANTO TOMAS;7280;3717;3563;0;7280;100.0;12;12;0;3;6;4;4;1;4.1;2427;6.0;6410;23;3;5.9;3798;59.3;40.7;64.8;35.2;6.0;0.88;49.146;15.336;9.794;1.952;5.891;95.652;62.9;77.2;70.0;29;40;18;9;Santo Tomas;1762;6988;45.0;4.2;21;34;279.61;2061.0;26.0;16250078.0;14800566.29;9970520.0;8854059.4;88.8;2001.0;81.9;18.1;13.1;26.9;73.1;33.7;2.2;35.5;24.7;2019.0;83.5;2.1;75.2;18.79;131.0;697.0;20.05;24.64;69.0;15.5;3.0;6.0;3.0;12.0;16.9;23.33;36.67;24.0;16.7;1.0;18.0;6.0;14.0;31.0;1813.0;432.0;8.0;643965.4;101.0;1500.0;;1.0;7.0;1040;77.0;CRÍTICO;23.0;BAJO;50.0;ALTO;57.0;ALTO;77.0;CRÍTICO;90.0;CRÍTICO;30.0;MEDIO;17.0;BAJO;50.0;ALTO;23.0;BAJO;52.0;Médicos por 10 000 hab (2026) (P90) | Pobreza monetaria 2018 (P77) | Desnutrición crónica <5 (2021) (P77);MEDIO;8;4182;1090;26.1;1368;32.7;668;16.0;0;0.0;0.357
060606;Pimpingos;PIMPINGOS;5282;2727;2555;0;5282;100.0;8;8;0;3;6;5;0;1;5.7;1761;4.3;4734;17;3;4.4;2330;49.2;50.8;76.3;23.7;3.2;0.9;53.977;9.067;11.135;0.901;3.977;100.0;51.3;69.5;60.4;111;36;14;6;Pimpingos;570;5100;39.0;3.6;20;31;186.04;1748.0;28.4;20486150.0;17891040.88;15736988.0;13208338.6;83.9;1504.0;62.0;38.0;35.6;22.5;77.5;65.6;2.1;34.1;22.1;1543.0;94.9;0.3;57.6;12.69;59.0;465.0;19.33;7.69;52.0;4.6;2.0;5.0;3.0;8.0;14.1;19.61;52.94;16.1;75.0;1.0;16.0;14.0;7.0;12.0;1421.0;323.0;5.0;542937.5;50.0;200.0;;1.0;6.0;880;43.0;MEDIO;63.0;ALTO;57.0;ALTO;50.0;ALTO;10.0;BAJO;73.0;ALTO;50.0;ALTO;60.0;ALTO;33.0;MEDIO;80.0;CRÍTICO;49.0;Médicos por 10 000 hab (2026) (P73) | Sin agua por red (2017) (P63) | Hogares con internet (2017) (P60);MEDIO;10;3114;1034;33.2;850;27.3;77;2.5;0;0.0;0.276
060612;Santo Domingo De La Capilla;SANTO DOMINGO DE LA CAPILLA;4504;2258;2246;0;4504;100.0;12;12;0;2;5;4;3;2;4.4;2252;3.7;4624;16;2;4.3;2661;57.5;42.5;72.2;27.8;6.0;1.03;56.596;9.613;11.869;0.883;2.992;93.75;59.9;73.8;66.8;51;28;14;4;Santo Domingo De La Capilla;803;4701;50.0;-4.2;10;21;103.74;1663.0;43.4;12491997.0;8396304.42;9146997.0;5097895.11;55.7;1355.0;17.9;82.1;81.0;16.2;83.8;68.7;1.1;14.8;15.0;1378.0;92.7;0.5;68.8;15.86;75.0;473.0;22.85;12.82;39.0;8.04;2.0;5.0;5.0;12.0;20.5;27.78;52.78;57.1;0.0;1.0;13.0;7.0;20.0;32.0;1305.0;329.0;3.0;415568.6;76.0;350.0;;1.0;6.0;751;57.0;ALTO;97.0;CRÍTICO;70.0;ALTO;10.0;BAJO;43.0;MEDIO;83.0;CRÍTICO;17.0;BAJO;30.0;MEDIO;57.0;ALTO;43.0;MEDIO;52.0;Sin agua por red (2017) (P97) | Médicos por 10 000 hab (2026) (P83) | Sin desagüe por red (2017) (P70);MEDIO;7;3195;1344;42.1;705;22.1;744;23.3;0;0.0;0.271
060608;San Andrés De Cutervo;SAN ANDRES DE CUTERVO;3980;2003;1977;0;3980;100.0;5;5;0;3;5;3;1;1;7.5;1327;3.3;4011;14;2;3.7;2286;57.0;43.0;76.5;23.5;4.2;1.01;51.074;8.643;11.315;2.514;6.129;100.0;47.9;64.9;56.4;171;14;3;1;San Andres De Cutervo;1101;4172;21.0;-4.6;8;12;133.4;2058.0;29.8;10714519.0;6995571.02;7757033.0;4401680.02;56.7;1196.0;89.6;10.4;7.4;39.0;61.0;26.6;1.8;18.0;34.2;1199.0;93.7;0.3;75.4;15.94;66.0;414.0;15.95;34.55;55.0;33.01;2.0;1.0;3.0;5.0;15.4;20.0;45.0;63.6;40.0;3.0;6.0;2.0;13.0;40.0;980.0;522.0;17.0;343824.0;92.0;2000.0;;1.0;6.0;663;30.0;MEDIO;10.0;BAJO;17.0;BAJO;30.0;MEDIO;50.0;ALTO;57.0;ALTO;43.0;MEDIO;60.0;ALTO;10.0;BAJO;57.0;ALTO;34.0;Hogares con internet (2017) (P60) | Médicos por 10 000 hab (2026) (P57) | Desnutrición crónica <5 (2021) (P50);MEDIO;13;2015;238;11.8;1095;54.3;315;15.6;0;0.0;0.345
060605;La Ramada;LA RAMADA;3343;1657;1686;0;3343;100.0;8;8;0;3;5;2;0;1;9.0;1114;2.7;3292;12;3;3.0;1886;57.3;42.7;87.0;13.0;6.9;0.98;72.003;4.277;9.332;0.454;1.491;100.0;65.8;80.8;73.3;17;17;2;1;La Ramada;576;3652;12.0;-8.5;10;15;30.27;1484.0;110.4;7256923.0;5143898.6;4632130.0;2716564.9;58.6;1042.0;46.2;53.8;49.4;15.7;84.3;70.0;1.7;36.9;13.4;1118.0;90.3;0.4;68.2;18.65;61.0;327.0;19.95;0.0;34.0;0.0;2.0;3.0;2.0;8.0;9.4;18.52;48.15;0.0;66.7;1.0;12.0;0.0;9.0;40.0;1001.0;264.0;6.0;324917.5;73.0;500.0;;1.0;6.0;557;83.0;CRÍTICO;83.0;CRÍTICO;80.0;CRÍTICO;70.0;ALTO;70.0;ALTO;30.0;MEDIO;77.0;CRÍTICO;40.0;MEDIO;3.0;BAJO;50.0;ALTO;60.0;Sin agua por red (2017) (P83) | Pobreza monetaria 2018 (P83) | Sin desagüe por red (2017) (P80);MEDIO;4;1960;75;3.8;749;38.2;1055;53.8;0;0.0;0.274
060603;Choros;CHOROS;3087;1567;1520;0;3087;100.0;4;4;0;3;5;4;0;1;9.7;1029;2.5;3386;13;3;3.1;1687;49.8;50.2;72.2;27.8;3.1;1.1;41.853;12.159;11.414;0.827;4.88;92.308;50.4;69.3;59.8;120;34;25;15;Choros;347;2878;74.0;7.3;17;30;276.96;481.0;11.1;15218160.0;6929353.86;12292748.0;4633506.75;37.7;857.0;72.9;27.1;23.1;35.4;64.6;48.9;5.3;43.1;32.9;893.0;88.4;0.0;59.5;13.88;39.0;281.0;18.2;3.7;27.0;1.85;2.0;4.0;1.0;4.0;24.3;37.04;37.04;41.2;40.0;0.0;7.0;10.0;15.0;27.0;753.0;174.0;0.0;267531.6;26.0;1000.0;;1.0;6.0;514;37.0;MEDIO;33.0;MEDIO;30.0;MEDIO;77.0;CRÍTICO;23.0;BAJO;17.0;BAJO;10.0;BAJO;90.0;CRÍTICO;80.0;CRÍTICO;70.0;ALTO;44.0;Hogares con internet (2017) (P90) | Dispersión: % CCPP < 100 hab (P80) | Sin electricidad (2017) (P77);MEDIO;11;1855;429;23.1;691;37.3;527;28.4;0;0.0;0.393
