bloque;indicador;ambito;valor;unidad;anio;fuente;url;nota
A. Territorio y población;Población censada;Provincia Cutervo;121976;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;INDDEM01
A. Territorio y población;Población total (censada + omitida);Provincia Cutervo;126940.0;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;INDDEM06
A. Territorio y población;Mujeres;Provincia Cutervo;62189;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;51.0 % de la población
A. Territorio y población;Población rural;Provincia Cutervo;94394;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;77.4 % rural (Cajamarca 60.7 %)
A. Territorio y población;Población urbana;Provincia Cutervo;27582;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;22.6 %
A. Territorio y población;Distritos 100 % rurales según el censo;Provincia Cutervo;13;de 15 distritos;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;solo Cutervo y Sócota tienen población urbana
A. Territorio y población;Población censada 2017;Provincia Cutervo;120723;personas;2017;INEI – Nota de prensa N° 194-2018 (Censos 2017, dpto. Cajamarca);https://www.inei.gob.pe/media/MenuRecursivo/noticias/nota-de-prensa-no-194-2018-inei.pdf;variación 2017→2025: +1.0 % (estancada)
A. Territorio y población;Puesto por población entre las 13 provincias de Cajamarca;Provincia Cutervo;5;puesto;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;tras Cajamarca, Jaén, Chota y San Ignacio
A. Territorio y población;Población censada – distrito Cutervo;Distrito Cutervo;52791;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"43.3 % de la provincia; rural 53 %"
A. Territorio y población;Población censada – distrito Querocotillo;Distrito Querocotillo;12633;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"10.4 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito Callayuc;Distrito Callayuc;9540;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"7.8 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito Socota;Distrito Socota;8716;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"7.1 % de la provincia; rural 69 %"
A. Territorio y población;Población censada – distrito Santo Tomás;Distrito Santo Tomás;7280;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"6.0 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito Pimpingos;Distrito Pimpingos;5282;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"4.3 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito Santo Domingo De La Capilla;Distrito Santo Domingo De La Capilla;4504;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"3.7 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito San Andrés De Cutervo;Distrito San Andrés De Cutervo;3980;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"3.3 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito La Ramada;Distrito La Ramada;3343;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"2.7 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito Choros;Distrito Choros;3087;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"2.5 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito Santa Cruz;Distrito Santa Cruz;2649;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"2.2 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito San Luis De Lucma;Distrito San Luis De Lucma;2630;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"2.2 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito Cujillo;Distrito Cujillo;2249;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"1.8 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito San Juan De Cutervo;Distrito San Juan De Cutervo;2096;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"1.7 % de la provincia; rural 100 %"
A. Territorio y población;Población censada – distrito Toribio Casanova;Distrito Toribio Casanova;1196;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"1.0 % de la provincia; rural 100 %"
A. Territorio y población;Población en edad de trabajar (14+);Provincia Cutervo;94886.0;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;PET1
A. Territorio y población;Jóvenes 14–24 años en la PET;Provincia Cutervo;20017.0;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;21.1 % de la PET
A. Territorio y población;Adultos mayores 60+ en la PET;Provincia Cutervo;20566.0;personas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;21.7 % de la PET
A. Territorio y población;Viviendas particulares (total);Provincia Cutervo;59949.0;viviendas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;VIV1
A. Territorio y población;Viviendas con personas presentes;Provincia Cutervo;44714.0;viviendas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;
A. Territorio y población;Viviendas cerradas o abandonadas;Provincia Cutervo;5117.0;viviendas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"8.5 % del parque; señal de migración"
A. Territorio y población;Viviendas de uso ocasional o transitorio;Provincia Cutervo;8009.0;viviendas;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;
A. Territorio y población;Población con DNI;Provincia Cutervo;99.8;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;81 personas sin documento alguno
D. Educación;Analfabetismo (14 años y más);Provincia Cutervo;15.5;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"14743 personas; Cajamarca 12.6 %; Perú 5.1 % (cuadro PET6)"
D. Educación;Analfabetismo (14+) – Cajamarca;Dpto. Cajamarca;12.6;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;PET6
D. Educación;Analfabetismo (14+) – Perú;Perú;5.1;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;PET6
D. Educación;Población 3+ sin nivel educativo;Provincia Cutervo;10.8;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;12620 personas (EDUC1)
D. Educación;Población 3+ con solo primaria;Provincia Cutervo;42.1;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;EDUC1
D. Educación;Población 3+ con educación superior (completa o incompleta, incl. posgrado);Provincia Cutervo;12.2;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"14276 personas; Cajamarca 17.4 %"
D. Educación;Población 3+ que asiste a una institución educativa;Provincia Cutervo;29.3;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;EDUC6
C. Servicios básicos y conectividad;Población 14+ que usó internet en los últimos 3 meses;Provincia Cutervo;57.9;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"Cajamarca 62.9 %; Perú 80.2 % (PET7)"
C. Servicios básicos y conectividad;Población 14+ sin ningún dispositivo ni internet (últimos 3 meses);Provincia Cutervo;37.5;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"35544 personas; Perú 16.1 %"
C. Servicios básicos y conectividad;Población 14+ que usó computadora o laptop;Provincia Cutervo;12.5;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;PET7
E. Salud;Afiliados al SIS;Provincia Cutervo;91.5;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;111575 personas (SALUD06)
E. Salud;Afiliados a EsSalud;Provincia Cutervo;7.4;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;9046 personas
E. Salud;Sin ningún seguro de salud;Provincia Cutervo;0.8;%;2025;"INEI – Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;943 personas
C. Servicios básicos y conectividad;Viviendas con agua por red pública;Provincia Cutervo;79.6;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;35590 de 44714 viviendas con ocupantes presentes (cuadro VSB-1)
C. Servicios básicos y conectividad;Viviendas SIN agua por red pública;Provincia Cutervo;20.4;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"9124 viviendas; 25264 personas"
C. Servicios básicos y conectividad;Viviendas que se abastecen de manantial/puquio o río/acequia;Provincia Cutervo;17.2;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"4110 manantial + 3602 río/acequia = 7712 viviendas; 21498 personas"
C. Servicios básicos y conectividad;Viviendas con desagüe por red pública (dentro o fuera de la vivienda);Provincia Cutervo;37.6;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;dentro 14464 + fuera 2349 (cuadro VSB-9)
C. Servicios básicos y conectividad;Viviendas con pozo ciego/negro;Provincia Cutervo;17.0;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;7582 viviendas
C. Servicios básicos y conectividad;Viviendas sin conexión (al aire libre);Provincia Cutervo;11.3;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"5063 viviendas; 13676 personas"
C. Servicios básicos y conectividad;Viviendas con electricidad por red pública;Provincia Cutervo;88.0;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;cuadro VSB-10
C. Servicios básicos y conectividad;Viviendas SIN energía eléctrica;Provincia Cutervo;6.7;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"2997 viviendas; 7184 personas; panel solar 1384"
C. Servicios básicos y conectividad;Viviendas con agua por red pública;Dpto. Cajamarca;81.1;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;390321 de 481197 viviendas con ocupantes presentes (cuadro VSB-1)
C. Servicios básicos y conectividad;Viviendas SIN agua por red pública;Dpto. Cajamarca;18.9;%;2025;INEI – Censos Nacionales 2025, Tabulados de Vivienda – Servicios básicos (xlsx oficial);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"90876 viviendas; 267731 personas"
