ubigeo;distrito;codigo_local;local_votacion;mesas;electores_2026;votos_emitidos_2v2026;participacion_2v2026;pct_electores_provincia;pct_electores_distrito;centro_poblado_iiee;area_iiee;ie_padron;lat;lon;coord_fuente
060601;Cutervo;1130;IE EMBLEMATICA TORIBIO CASANOVA;22;6456;4565;70.7;5.98;14.8;Cutervo;Urbana;TORIBIO CASANOVA;-6.378980468999941;-78.81791992199999;CCPP Cutervo
060601;Cutervo;1134;IE 10236;21;6279;4189;66.7;5.82;14.4;Cutervo;Urbana;10236;-6.378980468999941;-78.81791992199999;CCPP Cutervo
060601;Cutervo;51276;IE FE Y ALEGRÍA 69 LOCAL ANTIGUO;20;5980;4114;68.8;5.54;13.7;Cutervo;Urbana;FE Y ALEGRIA 69;-6.378980468999941;-78.81791992199999;CCPP Cutervo
060601;Cutervo;1132;IE 10234;15;4485;3094;69.0;4.16;10.3;Cutervo;Urbana;10234;-6.378980468999941;-78.81791992199999;CCPP Cutervo
060614;Socota;1153;IE SAN LORENZO;12;3421;2130;62.3;3.17;42.1;Socota;Urbana;CEBA - SAN LORENZO;-6.3153261719999705;-78.69888866999997;CCPP Socota
060613;Santo Tomás;1152;IE SANTO TOMAS;12;3406;1806;53.0;3.16;53.1;Santo Tomas;Urbana;CEBA - SANTO TOMAS;-6.154449098999976;-78.69109173699997;CCPP Santo Tomas
060607;Querocotillo;1145;IE JUAN ZACARIAS MONTENEGRO;12;3361;1259;37.5;3.11;29.3;Querocotillo;Urbana;JUAN Z.MONTENEGRO;-6.273719794999977;-79.03830396099994;CCPP Querocotillo
060612;Santo Domingo De La Capilla;1151;IE SANTO DOMINGO;11;3144;1858;59.1;2.91;68.0;Santo Domingo De La Capilla;Urbana;SANTO DOMINGO;-6.243565880999938;-78.85550733599996;CCPP Santo Domingo De La Capilla
060601;Cutervo;1131;IE 10235;10;2990;2148;71.8;2.77;6.9;Cutervo;Urbana;10235;-6.378980468999941;-78.81791992199999;CCPP Cutervo
060601;Cutervo;1133;IE CRISTO REY;10;2990;2189;73.2;2.77;6.9;Cutervo;Urbana;CRISTO REY;-6.378980468999941;-78.81791992199999;CCPP Cutervo
060613;Santo Tomás;22532;IE 16378;9;2641;1711;64.8;2.45;41.2;Santo Tomas;Urbana;16378;-6.154449098999976;-78.69109173699997;CCPP Santo Tomas
060602;Callayuc;1138;IE JEC AMAUTA;9;2560;1361;53.2;2.37;33.1;Callayuc;Urbana;AMAUTA;-6.18081852399996;-78.91039958399995;CCPP Callayuc
060605;La Ramada;1142;IE NUESTRA SEÑORA DEL CARMEN;8;2340;1397;59.7;2.17;71.1;La Ramada;Urbana;NUESTRA SEÑORA DEL CARMEN;-6.211894530999928;-78.55615624999996;CCPP La Ramada
060608;San Andrés De Cutervo;22497;IE 10340;8;2275;1304;57.3;2.11;56.7;San Andres De Cutervo;Urbana;10340;-6.239566061999938;-78.71095304199997;CCPP San Andres De Cutervo
060601;Cutervo;1136;IESPP OCTAVIO MATTA CONTRERAS;7;2093;1454;69.5;1.94;4.8;Cutervo;Urbana;OCTAVIO MATTA CONTRERAS;-6.378980468999941;-78.81791992199999;CCPP Cutervo
060601;Cutervo;51275;IEP PREMIUM COLLEGE FOR EXCELENCE;7;2093;1501;71.7;1.94;4.8;Cutervo;Urbana;PREMIUM COLLEGE FOR EXCELLENCE;-6.378980468999941;-78.81791992199999;CCPP Cutervo
